run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR2062004,SAMN03765201,PXO99A-L-13,Xanthomonas oryzae pv. oryzae PXO99A,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,1399547,120504697,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/004/SRR2062004/SRR2062004_consensus.fastq.gz'],1 MB files; 0.1 million reads; 120.5 million sequenced bases
SRR2062013,SAMN03765200,PXO99-L-13,Xanthomonas oryzae pv. oryzae PXO99,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,1530569,170576315,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/003/SRR2062013/SRR2062013_consensus.fastq.gz'],2 MB files; 0.1 million reads; 170.6 million sequenced bases
SRR2062015,SAMN03765200,PXO99-L-13,Xanthomonas oryzae pv. oryzae PXO99,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,1633361,171693514,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/005/SRR2062015/SRR2062015_consensus.fastq.gz'],2 MB files; 0.1 million reads; 171.7 million sequenced bases
SRR2062016,SAMN03765200,PXO99-L-13,Xanthomonas oryzae pv. oryzae PXO99,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,6797367,587674617,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/006/SRR2062016/SRR2062016_consensus.fastq.gz'],7 MB files; 0.1 million reads; 587.7 million sequenced bases
SRR2056977,SAMN03765200,PXO99-L-13,Xanthomonas oryzae pv. oryzae PXO99,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,1644409,180223423,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/007/SRR2056977/SRR2056977_consensus.fastq.gz'],2 MB files; 0.1 million reads; 180.2 million sequenced bases
SRR2062008,SAMN03765201,PXO99A-L-13,Xanthomonas oryzae pv. oryzae PXO99A,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,956381,105079237,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/008/SRR2062008/SRR2062008_consensus.fastq.gz'],956 KB files; 0.1 million reads; 105.1 million sequenced bases
SRR2062009,SAMN03765201,PXO99A-L-13,Xanthomonas oryzae pv. oryzae PXO99A,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,7678495,752537803,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/009/SRR2062009/SRR2062009_consensus.fastq.gz'],8 MB files; 0.1 million reads; 752.5 million sequenced bases
SRR2062010,SAMN03765201,PXO99A-L-13,Xanthomonas oryzae pv. oryzae PXO99A,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,9351272,672263783,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/000/SRR2062010/SRR2062010_consensus.fastq.gz'],9 MB files; 0.1 million reads; 672.3 million sequenced bases
SRR2062011,SAMN03765201,PXO99A-L-13,Xanthomonas oryzae pv. oryzae PXO99A,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,7832201,556600000,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/001/SRR2062011/SRR2062011_consensus.fastq.gz'],8 MB files; 0.1 million reads; 556.6 million sequenced bases
SRR2062012,SAMN03765201,PXO99A-L-13,Xanthomonas oryzae pv. oryzae PXO99A,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,7727187,631694718,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/002/SRR2062012/SRR2062012_consensus.fastq.gz'],8 MB files; 0.1 million reads; 631.7 million sequenced bases
SRR2062014,SAMN03765200,PXO99-L-13,Xanthomonas oryzae pv. oryzae PXO99,2015-06-13,Philippines,Xanthomonas oryzae pv. oryzae,1866991,187896113,81741,,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS,Xanthomonas oryzae pv. oryzae PXO99(A) raw sequence reads,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/004/SRR2062014/SRR2062014_consensus.fastq.gz'],2 MB files; 0.1 million reads; 187.9 million sequenced bases
