run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR25203146,SAMN36329573,8932A,Genome sequencing of Xanthomonas strain WHRI 8932A,2023-07-09,United Kingdom,Xanthomonas sp. WHRI 8932A,415009710;415196572,2177542008,7210404,8932A,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/046/SRR25203146/SRR25203146_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/046/SRR25203146/SRR25203146_2.fastq.gz']","415 MB, 415 MB files; 7.2 million reads; 2177.5 million sequenced bases"
SRR27937201,SAMN39911793,7722,Genome sequencing of X. hortorum pv. hederae WHRI 7722,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,202962285;202988967,956571900,3188573,SPG8-MG1_D12,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/001/SRR27937201/SRR27937201_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/001/SRR27937201/SRR27937201_2.fastq.gz']","203 MB, 203 MB files; 3.2 million reads; 956.6 million sequenced bases"
SRR27937205,SAMN39911806,7219,Genome sequencing of X. hortorum pv. hederae WHRI 7219,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,194381952;194482660,919813800,3066046,SPG8-MG1_F11,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/005/SRR27937205/SRR27937205_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/005/SRR27937205/SRR27937205_2.fastq.gz']","194 MB, 194 MB files; 3.1 million reads; 919.8 million sequenced bases"
SRR27937207,SAMN39911790,7053B,Genome sequencing of X. hortorum pv. hederae WHRI 7053B,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,188717442;188807802,895227600,2984092,SPG8-MG1_D9,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/007/SRR27937207/SRR27937207_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/007/SRR27937207/SRR27937207_2.fastq.gz']","189 MB, 189 MB files; 3.0 million reads; 895.2 million sequenced bases"
SRR27937212,SAMN39911804,7743,Genome sequencing of X. hortorum pv. hederae WHRI 7743,2024-02-11,Denmark,Xanthomonas hortorum pv. hederae,189049789;189124506,898339200,2994464,SPG8-MG1_E12,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/012/SRR27937212/SRR27937212_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/012/SRR27937212/SRR27937212_2.fastq.gz']","189 MB, 189 MB files; 3.0 million reads; 898.3 million sequenced bases"
SRR27937214,SAMN39911803,7738B,Genome sequencing of X. hortorum pv. hederae WHRI 7738B,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,195414187;195446761,925054800,3083516,SPG8-MG1_E11,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/014/SRR27937214/SRR27937214_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/014/SRR27937214/SRR27937214_2.fastq.gz']","195 MB, 195 MB files; 3.1 million reads; 925.1 million sequenced bases"
SRR27937215,SAMN39911802,7736B,Genome sequencing of X. hortorum pv. hederae WHRI 7736B,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,208516146;208642132,984554400,3281848,SPG8-MG1_E10,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/015/SRR27937215/SRR27937215_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/015/SRR27937215/SRR27937215_2.fastq.gz']","209 MB, 209 MB files; 3.3 million reads; 984.6 million sequenced bases"
SRR27937216,SAMN39911801,7735A,Genome sequencing of X. hortorum pv. hederae WHRI 7735A,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,201401976;201519947,951762300,3172541,SPG8-MG1_E9,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/016/SRR27937216/SRR27937216_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/016/SRR27937216/SRR27937216_2.fastq.gz']","201 MB, 202 MB files; 3.2 million reads; 951.8 million sequenced bases"
SRR27937218,SAMN39911799,7733A,Genome sequencing of X. hortorum pv. hederae WHRI 7733A,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,197476754;197600373,920409900,3068033,SPG8-MG1_E7,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/018/SRR27937218/SRR27937218_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/018/SRR27937218/SRR27937218_2.fastq.gz']","197 MB, 198 MB files; 3.1 million reads; 920.4 million sequenced bases"
SRR27937222,SAMN39911795,7726B,Genome sequencing of X. hortorum pv. hederae WHRI 7726B,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,191748321;191832898,905272800,3017576,SPG8-MG1_E3,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/022/SRR27937222/SRR27937222_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/022/SRR27937222/SRR27937222_2.fastq.gz']","192 MB, 192 MB files; 3.0 million reads; 905.3 million sequenced bases"
