study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
ERP167899	ERX13543785	Bacterial genome seuqencing for One Day One Genome (ODOG) initiative	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM PCR	ERS22917899	SAMEA117596621	AB SOLiD System 2.0	19761891	766867679	ERR14141133	19761891	908043035
SRP526343	SRX25999382	PacBio HiFi Fastq reads of Xoo M24	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS22573117	M24_PB	Sequel IIe	213987	686758538	SRR30576370	213987	1244010289
SRP526343	SRX25999381	PacBio HiFi Fastq reads of Xoo M10	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS22573116	M10_PB	Sequel IIe	283633	853382651	SRR30576371	283633	1573839896
SRP526343	SRX25999380	PacBio HiFi Fastq reads of Xoo A3857I10	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS22573115	A3857I10_PB	Sequel IIe	172217	537879040	SRR30576372	172217	980485186
SRP526343	SRX25999379	PacBio HiFi Fastq reads of Xoo A3842I5	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS22573114	A3842I5_PB	Sequel IIe	84141	258057190	SRR30576373	84141	472275519
SRP526343	SRX25999378	Raw Illumina reads of Xoo M24	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	other	SRS22573117	M24_PB	NextSeq 2000	2578665	263709692	SRR30576374	2578665	759867958
SRP526343	SRX25999377	Raw Illumina reads of Xoo M10	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	other	SRS22573116	M10_PB	NextSeq 2000	2324602	235606027	SRR30576375	2324602	686480589
SRP526343	SRX25999376	Raw Illumina reads of Xoo A3857I10	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	other	SRS22573115	A3857I10_PB	NextSeq 2000	3113128	309230432	SRR30576376	3113128	915101659
SRP526343	SRX25999375	Raw Illumina reads of Xoo A3842I5	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	other	SRS22573114	A3842I5_PB	NextSeq 2000	2583479	259305237	SRR30576377	2583479	760989064
SRP447847	SRX25745476	Genome sequencing of the type strain of Xanthomonas oryzae WHRI 5233	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS20715772	MG1_SGP8_C7_5233	PromethION	63545	384722094	SRR30284785	63545	440874524
SRP502552	SRX24298191	Non-denaturing Bisulphite-Seq of Xanthomonas oryzae with BCM	64187	Xanthomonas oryzae pv. oryzae	Bisulfite-Seq	GENOMIC	RANDOM	SRS21062284	Xoo_BCM_Bisulphite	Illumina HiSeq 2500	8038331	754104795	SRR28732128	8038331	1598282998
SRP502552	SRX24298190	Non-denaturing Bisulphite-Seq of Xanthomonas oryzae without BCM	64187	Xanthomonas oryzae pv. oryzae	Bisulfite-Seq	GENOMIC	RANDOM	SRS21062283	Xoo_Bisulphite	Illumina HiSeq 2500	8513595	815042900	SRR28732129	8513595	1692859177
SRP498586	SRX24097671	Illumina WGS of Xanthomonas oryzae pv. oryzae: Genome Sequencing	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	PCR	SRS20886326	C2	Illumina NovaSeq 6000	5131162	528345604	SRR28495705	5131162	1539348600
SRP447847	SRX23890734	Genome sequencing of Xanthomonas oryzae pv. oryzae strain WHRI 5233	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	size fractionation	SRS20715772	MG1_SGP8_C7_5233	Illumina NovaSeq 6000	3005903	352040130	SRR28281451	3005903	901770900
SRP415084	SRX18871353	CRISPR editing of suxC in Xanthomonas. oryzae pv. oryzae PXO99A by dCas9-CDA1-gRNA sample 3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301139	SuxC-3	Illumina MiSeq	29484	3214980	SRR22913888	29484	8904168
SRP415084	SRX18871352	CRISPR editing of suxC in Xanthomonas. oryzae pv. oryzae PXO99A by dCas9-CDA1-gRNA sample 2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301138	SuxC-2	Illumina MiSeq	39274	4354367	SRR22913889	39274	11860748
SRP415084	SRX18871351	CRISPR editing of suxC in Xanthomonas. oryzae pv. oryzae PXO99A by dCas9-CDA1-gRNA sample 1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301137	SuxC-1	Illumina MiSeq	33128	3568333	SRR22913890	33128	10004656
SRP415084	SRX18871350	CRISPR editing of suxB in Xanthomonas. oryzae pv. oryzae PXO99A by dCas9-CDA1-gRNA sample 3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301136	SuxB-3	Illumina MiSeq	35301	2800384	SRR22913891	35301	10660902
SRP415084	SRX18871349	CRISPR editing of suxB in Xanthomonas. oryzae pv. oryzae PXO99A by dCas9-CDA1-gRNA sample 2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301134	SuxB-2	Illumina MiSeq	35047	2862128	SRR22913892	35047	10584194
SRP415084	SRX18871348	CRISPR editing of suxB in Xanthomonas. oryzae pv. oryzae PXO99A by dCas9-CDA1-gRNA sample 1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301135	SuxB-1	Illumina MiSeq	32283	2484672	SRR22913893	32283	9749466
SRP415084	SRX18871347	CRISPR editing of suxC in Xanthomonas. oryzae pv. oryzae PXO99A by nCas9-CDA1-gRNA sample 3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301133	ncas-SuxC-3	Illumina MiSeq	25225	2848446	SRR22913894	25225	7617950
SRP415084	SRX18871346	CRISPR editing of suxC in Xanthomonas. oryzae pv. oryzae PXO99A by nCas9-CDA1-gRNA sample 2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301132	ncas-SuxC-2	Illumina MiSeq	27656	3290481	SRR22913895	27656	8352112
SRP415084	SRX18871344	CRISPR editing of suxC in Xanthomonas. oryzae pv. oryzae PXO99A by nCas9-CDA1-gRNA sample 1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301129	ncas-SuxC-1	Illumina MiSeq	27440	3053295	SRR22913897	27440	8286880
SRP415084	SRX18871343	CRISPR editing of suxB in Xanthomonas. oryzae pv. oryzae PXO99A by nCas9-CDA1-gRNA sample 3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301130	ncas-SuxB-3	Illumina MiSeq	23925	1921872	SRR22913898	23925	7225350
SRP415084	SRX18871342	CRISPR editing of suxB in Xanthomonas. oryzae pv. oryzae PXO99A by nCas9-CDA1-gRNA sample 2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301128	ncas-SuxB-2	Illumina MiSeq	34400	2665159	SRR22913899	34400	10388800
SRP415084	SRX18871341	CRISPR editing of suxB in Xanthomonas. oryzae pv. oryzae PXO99A by nCas9-CDA1-gRNA sample 1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS16301127	ncas-SuxB-1	Illumina MiSeq	39742	3006931	SRR22913900	39742	12002084
SRP401244	SRX17810041	Complete genome sequence of Xanthomonas oryzae pv. oryzae IXO1104	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334164	IXO1104	MinION	478784	4277343114	SRR21820801	478784	4729573457
SRP401244	SRX17810040	Whole genome sequence of Xanthomonas oryzae pv. oryzae IXO1104	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS15334164	IXO1104	Illumina MiSeq	2199702	644074606	SRR21820802	2199702	1036408274
