run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR8476687,SAMN10768780,PbXo-4,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7, Xa21, Xa4+Xa21, Xa5+Xa21",2020-02-18,India:Sangrur,Xanthomonas oryzae pv. oryzae,659463711,757868358,95817,PbXo-4,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/007/SRR8476687/SRR8476687_subreads.fastq.gz'],659 MB files; 0.1 million reads; 757.9 million sequenced bases
SRR8476692,SAMN10768783,PbXo-7,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7, xa8",2020-02-18,India:Moga,Xanthomonas oryzae pv. oryzae,526793971,615167344,58538,PbXo-7,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/002/SRR8476692/SRR8476692_subreads.fastq.gz'],527 MB files; 0.1 million reads; 615.2 million sequenced bases
SRR8476693,SAMN10768782,PbXo-6,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7",2020-02-18,India:Amritsar,Xanthomonas oryzae pv. oryzae,216882730,248342356,48069,PbXo-6,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/003/SRR8476693/SRR8476693_subreads.fastq.gz'],217 MB files; 0.0 million reads; 248.3 million sequenced bases
SRR8476686,SAMN10768785,PbXo-9,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7, xa8, Xa21, Xa4+xa5",2020-02-18,India:Taran Tarn,Xanthomonas oryzae pv. oryzae,772783132,899571357,87272,PbXo-9,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/006/SRR8476686/SRR8476686_subreads.fastq.gz'],773 MB files; 0.1 million reads; 899.6 million sequenced bases
SRR8476690,SAMN10768777,PbXo-1,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7",2020-02-18,India:Amritsar,Xanthomonas oryzae pv. oryzae,699627100,822952770,86354,PbXo-1,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/000/SRR8476690/SRR8476690_subreads.fastq.gz'],700 MB files; 0.1 million reads; 823.0 million sequenced bases
SRR8476691,SAMN10768784,PbXo-8,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa7, xa8, xa13, Xa21, xa13+Xa21",2020-02-18,India:Patiala,Xanthomonas oryzae pv. oryzae,678918045,797923170,75424,PbXo-8,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/001/SRR8476691/SRR8476691_subreads.fastq.gz'],679 MB files; 0.1 million reads; 797.9 million sequenced bases
SRR8476694,SAMN10768781,PbXo-5,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7, xa8, Xa4+xa5",2020-02-18,India:Ferozpur,Xanthomonas oryzae pv. oryzae,763025613,893071923,88981,PbXo-5,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/004/SRR8476694/SRR8476694_subreads.fastq.gz'],763 MB files; 0.1 million reads; 893.1 million sequenced bases
SRR8476685,SAMN10768786,PbXo-10,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa4, xa5, Xa7, xa8, Xa38, Xa4+xa5",2020-02-18,India:Tarantarn,Xanthomonas oryzae pv. oryzae,494754089,571501579,72582,PbXo-10,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/005/SRR8476685/SRR8476685_subreads.fastq.gz'],495 MB files; 0.1 million reads; 571.5 million sequenced bases
SRR8476688,SAMN10768779,PbXo-3,"A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene xa5, Xa7, Xa21",2020-02-18,India:Ludhiana,Xanthomonas oryzae pv. oryzae,760257300,875045086,116084,PbXo-3,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/008/SRR8476688/SRR8476688_subreads.fastq.gz'],760 MB files; 0.1 million reads; 875.0 million sequenced bases
SRR8476689,SAMN10768778,PbXo-2,A strain of Indian pathotype of Xanthomonas Oryzae pv. Oryzae defeates the rice bacterial blight resistance gene Xa7,2020-02-18,India:Gurdaspur,Xanthomonas oryzae pv. oryzae,712368539,827161864,87983,PbXo-2,WGS,GENOMIC,SINGLE,PACBIO_SMRT,PacBio RS II,Xanthomonas oryzae pv. oryzae Genome sequencing,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/009/SRR8476689/SRR8476689_subreads.fastq.gz'],712 MB files; 0.1 million reads; 827.2 million sequenced bases
